location_id,externalId,authority_name,authorityIdentifier,deviceName,measurement_type,platform_name,platformId,isUntrusted,description,locationInstallationPartner,isChornobylExclusionZone,addressCatuttc,addressPostCode,addressAdminUnitL1,admin_unit_l2,addressAdminUnitL3,addressAdminUnitL4,settlement_name,addressPostTypeName,addressCitytId,street_name,street_number,addressLocatorBuilding,addressDescription,lat,lon,source_file,region_raw,region_key,oblast_name_uk,oblast_name_en,display_region
20781,,ДУ «Івано-Франківський обласний центр контролю та профілактики хвороб МОЗ України»,38331800.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Івано-Франківський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA26080230010020173,,Україна,Івано-Франківська область,Коломийський район,Снятинськa міська громада,Снятин,місто,8636.0,Снятин,,,,48.442,25.57,saveecobot_radiation_locations.csv,Івано-Франківська область,ivano_frankivsk,Ivano-Frankivska oblast,Ivano-Frankivsk Oblast,Ivano-Frankivsk Oblast
20782,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32020010010081183,,Україна,Київська область,Білоцерківський район,Білoцepківськa міська громада,Біла Церква,місто,8775.0,Біла Церква,,,,49.796,30.13,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
20783,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32040010010093209,,Україна,Київська область,Бориспільський район,Бopиспільськa міська громада,Бориспіль,місто,20.0,Бориспіль,,,,50.347,30.94,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
20784,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32140030010045925,,Україна,Київська область,Фастівський район,Бoяpськa міська громада,Боярка,місто,28.0,Боярка,,,,50.318,30.3,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
20785,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32060050010081797,,Україна,Київська область,Броварський район,Бpoвapськa міська громада,Бровари,місто,218.0,Бровари,,,,50.509,30.76,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
20786,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32120030010069648,,Україна,Київська область,Обухівський район,Вaсильківськa міська громада,Васильків,місто,19.0,Васильків,,,,50.176,30.32,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
20787,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32120090010020161,,Україна,Київська область,Обухівський район,Миpoнівськa міська громада,Миронівка,місто,25939.0,Миронівка,,,,49.665,30.98,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
20788,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32120150010043175,,Україна,Київська область,Обухівський район,Укpaїнськa міська громада,Українка,місто,25948.0,Українка,,,,50.154,30.73,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
20789,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32140150010091295,,Україна,Київська область,Фастівський район,Фaстівськa міська громада,Фастів,місто,8782.0,Фастів,,,,50.082,29.92,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
20790,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32060010010055198,,Україна,Київська область,Броварський район,Бapишівськa селищнa громада,Баришівка,селище,8787.0,Баришівка,,,,50.356,31.31,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
