companyId,companyName,addressAdminUnitL2,addressPostName,addressThoroughfare,addressLocatorDesignator,permissionNum,permissionIssued,permissionValid,companyGroup,permissionStatusNum,permissionStatusIssued,source_file,validity_type,permissionValidDate,is_expired
5392714,ВІННИЦЬКИЙ ОБЛАСНИЙ ЦЕНТР ЗАЙНЯТОСТІ,Вінницька,Козятин,Пилипа Орлика,19А,510500000-115,2021-02-24,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
33623350,"ТОВ ""СХК ""ВІННИЦЬКА ПРОМИСЛОВА ГРУПА""",Вінницька,Вапнярка,Незалежності,253,523955400-46,2021-02-24,2031-02-24,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-02-24,False
43079409,"ТОВ ""АВТОСТРАДА ТРЕЙД ГРУП""",Вінницька,Хутір Кунка-2,,,520883303-16,2021-02-24,2031-02-24,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-02-24,False
36091490,"ФГ ""АГРОФІРМА ""БОГДАН""",Вінницька,Ганнопіль,Чапаєва (Подільська),30,524380201-7,2021-02-26,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
43255423,"ТОВ ""КАМЯНСЬКТЕПЛО""",Вінницька,Вінниця,Привокзальна,20,510136300-436,2021-02-26,2031-02-26,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-02-26,False
26244797,"ОПОРНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС:ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ І СТУПЕНЯ-ГІМНАЗІЯ М.ЯМПОЛЯ ЯМПІЛЬСЬКОЇ МІСЬКОЇ РАДИ ВІННИЦЬКОЇ ОБЛАСТІ""",Вінницька,Гальжбіївка,Незалежності,"33,34",525681601-3,2021-02-26,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
42890159,"ФГ ""АДМ-К""",Вінницька,Хрінівка,Польова,22А,521288003-1,2021-02-26,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
30247853,"ПП ""ВІННИЦЬКА ПАЛЯНИЦЯ""",Вінницька,Вінниця,С. Зулінського,40,510136300-372/1,2021-02-26,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
26244797,"ОПОРНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС:ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ І СТУПЕНЯ-ГІМНАЗІЯ М.ЯМПОЛЯ ЯМПІЛЬСЬКОЇ МІСЬКОЇ РАДИ ВІННИЦЬКОЇ ОБЛАСТІ""",Вінницька,Русава,Центральна,1,525684301-2,2021-02-26,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
39552694,"ТОВ ""АЛЬПІНІОН""",Вінницька,Попівці,8 березня,1,520284403-5,2021-03-02,2031-03-02,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-03-02,False
