Post_ID,Post_Name,Post_Code,Riverbas_Name,WaterLab_Name,Latitude,Longitude,Controle_Date,Azot,BSK5,Zavisli,Kisen,Sulfat,Hlorid,Amoniy,Nitrat,Nitrit,Fosfat,SPAR,Permanganat,HSK,Fitoplan,Atrazin,Simazin,source_file
38176,"р. Мала Терса, 12,4 км, с. Троїцьке, гідрологічний пост р. Мала Терса,північно-східна околиця села, 1,2 км нижче автодорожнього мосту",UA_M5.1.3_0404_01,Дніпро,Лабораторія моніторингу вод Східного регіону,48.413264,35.873172,2026-02-23,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38178,"р. Кільчень, 64,1 км, с. Олександрівка Перша, гідрологічний пост, південно-західна околиця села, 1,2 км нижче автодорожнього мосту",UA_M5.1.3_0430_01,Дніпро,Лабораторія моніторингу вод Східного регіону,48.7527,34.963975,2026-02-23,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38180,"р. Солона, 8,5 км, смт Солоне, південно-західна околиця, нижче автодорожнього моста",UA_M5.1.3_0483_01,Дніпро,Лабораторія моніторингу вод Південного регіону ,48.198611,34.846389,2026-02-20,,,,,,,,,,,,,,,0.002,0.0,2026-02-01_2026-02-28_output.csv
38215,"р. Мокра , 0 км, ж/д міст, м.Запоріжжя ",UA_M5.1.3_0508_01,Дніпро,Лабораторія моніторингу вод Східного регіону,47.803161,35.169244,2026-02-04,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38254,"р. Хотомля, 0 км, с. Новоолександрівка",UA_M6.5.1_0028_01,Дон,Лабораторія моніторингу вод Східного регіону,50.146694,37.252361,2026-02-02,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38256,"р. Уди, 0 км, вище м. Харкова",UA_M6.5.1_0058_01,Дон,Лабораторія моніторингу вод Східного регіону,50.012778,35.976361,2026-02-09,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38182,"р. Мокра Сура, 110,8 км, смт Кринички, гідрологічний пост, центральна частина селища, 430 м нижче автодорожнього мосту",UA_M5.1.3_0442_01,Дніпро,Лабораторія моніторингу вод Південного регіону ,48.37185,34.460064,2026-02-20,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38213,"р. Суха Сура, 36 км,  нижче греблі Баглійського (нижнього) водосховища",UA_M5.1.3_0487_01,Дніпро,Лабораторія моніторингу вод Південного регіону ,48.443789,34.586364,2026-02-20,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38219,"р. Случ, 391 км, с. Красносілка Старокостянтинівського р-ну, нижче м. Старокостянтинів на 0,5 км",UA_M5.1.4_0472_01,Дніпро,Лабораторія моніторингу вод  Північного регіону,49.7723,27.265808,2026-02-03,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38221,"р. Случ, 354 км, с. Коржівка Старокостянтинівського р-ну, межа області",UA_M5.1.4_0478_01,Дніпро,Лабораторія моніторингу вод  Північного регіону,49.8343,27.602514,2026-02-03,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38232,"р. Кам'янка, 66,3 км, центрально-південна околиця с. Вишневе, водопропускна споруда",UA_M5.1.3_0675_01,Дніпро,Лабораторія моніторингу вод Східного регіону,48.025947,33.838683,2026-02-06,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
