year,births,deaths,net,turnover,birth_death_ratio,net_rate_per_1000,turnover_rate_per_1000
1998,133857530,51853504,82004026,185711034,2.5814558260132237,13.651259461271062,30.91542737127238
1999,134058670,52183584,81875086,186242254,2.568981655227054,13.44637886538258,30.586641558175764
2000,135758480,52240370,83518110,187998850,2.5987273826735913,13.532425346498268,30.461422113749055
2001,135380000,52431244,82948756,187811244,2.582048215373261,13.261326710096538,30.026083411228715
2002,135396480,52757536,82638944,188154016,2.5663912734666,13.039201658567631,29.687917569389082
2003,135700800,53077070,82623730,188777870,2.5566746619585445,12.869014975001175,29.40299640283518
2004,136596320,53187800,83408520,189784120,2.568188945585266,12.825415176319726,29.182392073045825
2005,137166460,53390436,83776024,190556896,2.569120431981488,12.718446011013429,28.92936998063194
2006,138469300,53281776,85187524,191751076,2.598811646218399,12.768963001965645,28.742030288743955
2007,139935790,53410050,86525740,193345840,2.6200273169562656,12.804763385582485,28.612846683387964
2008,141758720,53987020,87771700,195745740,2.6257926442318915,12.823762578848909,28.599160043397678
2009,142968320,54122624,88845696,197090944,2.641562981129666,12.815330947102833,28.42890300546367
2010,143354240,54268588,89085652,197622828,2.6415693734283265,12.687133343417257,28.144455523985087
2011,143878780,54581440,89297340,198460220,2.6360385508333968,12.557769264671318,27.909203689336184
2012,146054880,54794788,91260092,200849668,2.6654885497503886,12.67289626681151,27.891129101508373
2013,145014780,55092620,89922160,200107400,2.632199739275424,12.331967293339119,27.442822903221277
2014,145268260,55545320,89722940,200813580,2.615310524811091,12.154917987467053,27.204554327685365
2015,144333950,56305970,88027980,200639920,2.563386262593469,11.783424901752747,26.857658549175834
2016,144854100,56756910,88097190,201611010,2.5521843948164196,11.655295954445656,26.673222939627276
2017,143601810,57572256,86029554,201174066,2.494288394743468,11.252138746678511,26.312335675545405
2018,140332740,57792804,82539936,198125544,2.4282043833692515,10.678004414782304,25.631052506669565
2019,138596780,58354932,80241848,196951712,2.37506540149854,10.27254269165075,25.213712297773892
2020,134719620,63546316,71173304,198265936,2.120022504530396,9.02412734473182,25.13831667258905
2021,133448840,69728100,63720740,203176940,1.9138459243834265,8.010705067134406,25.542555575827638
2022,132475390,62278628,70196762,194754018,2.127140469440014,8.751177977226329,24.27928332788256
2023,132110264,61651610,70458654,193761874,2.1428518087362196,8.707484190152229,23.945652644872666
